Name	Gene(s)	Protein change	Condition(s)	Accession	GRCh37Chromosome	GRCh37Location	GRCh38Chromosome	GRCh38Location	VariationID	AlleleID(s)	dbSNP ID	Canonical SPDI	Variant type	Molecular consequence	Germline classification	Germline date last evaluated	Germline review status	Somatic clinical impact	Somatic clinical impact date last evaluated	Somatic clinical impact review status	Oncogenicity classification	Oncogenicity date last evaluated	Oncogenicity review status	
GRCh37/hg19 19p13.2(chr19:10155161-10840443)x1	ANGPTL6|AP1M2|ATG4D|CDC37|CDKN2D|DNM2|DNMT1|EIF3G|FDX2|ICAM1|ICAM3|ICAM4|ICAM5|ILF3|KEAP1|KRI1|MRPL4|P2RY11|PDE4A|PPAN|PPAN-P2RY11|QTRT1|RAVER1|S1PR2|S1PR5|SHFL|SLC44A2|TYK2|ZGLP1		not specified	VCV004851230	19	10155161 - 10840443			4851230	4962242			copy number loss		Uncertain significance		criteria provided, single submitter							
GRCh37/hg19 19p13.2(chr19:10286133-11040457)x1	AP1M2|ATG4D|C19orf38|CARM1|CDC37|CDKN2D|DNM2|DNMT1|FDX2|ICAM1|ICAM3|ICAM4|ICAM5|ILF3|KEAP1|KRI1|MIR199A1|MRPL4|PDE4A|QTRT1|RAVER1|S1PR2|S1PR5|SLC44A2|TIMM29|TMED1|TYK2|YIPF2|ZGLP1		See cases	VCV000394483	19	10286133 - 11040457			394483	381376			copy number loss		Pathogenic		no assertion criteria provided							
GRCh37/hg19 19p13.2(chr19:10441330-10977962)x1	CDC37|AP1M2|ATG4D|C19orf38|CDKN2D|DNM2|ICAM3|ILF3|KEAP1|KRI1|MIR199A1|PDE4A|QTRT1|RAVER1|S1PR5|SLC44A2|TMED1|TYK2		not provided	VCV000688450	19	10441330 - 10977962			688450	676042			copy number loss		Uncertain significance	May 19, 2017	no assertion criteria provided							
GRCh37/hg19 19p13.2(chr19:10441330-13077352)x1	ACP5|ANGPTL8|AP1M2|ATG4D|BEST2|C19orf38|CALR|CARM1|CCDC159|CDC37|CDKN2D|CNN1|DHPS|DNASE2|DNM2|DOCK6|ECSIT|ELAVL3|ELOF1|EPOR|FARSA|FBXW9|GADD45GIP1|GCDH|GET3|HOOK2|ICAM3|ILF3|JUNB|KANK2|KEAP1|KLF1|KRI1|LDLR|MAN2B1|MAST1|MIR199A1|ODAD3|PDE4A|PRDX2|PRKCSH|QTRT1|RAB3D|RAD23A|RAVER1|RGL3|RNASEH2A|RTBDN|S1PR5|SLC44A2|SMARCA4|SPC24|SWSAP1|SYCE2|TIMM29|TMED1|TMEM205|TNPO2|TRIR|TSPAN16|TYK2|WDR83|WDR83OS|YIPF2|ZNF136|ZNF20|ZNF433|ZNF439|ZNF44|ZNF440|ZNF441|ZNF442|ZNF443|ZNF490|ZNF491|ZNF563|ZNF564|ZNF625|ZNF627|ZNF653|ZNF69|ZNF700|ZNF709|ZNF763|ZNF791|ZNF799|ZNF823|ZNF844|ZNF878		not specified	VCV003062391	19	10441330 - 13077352			3062391	3222616			copy number loss		Pathogenic		criteria provided, single submitter							
GRCh37/hg19 19p13.2(chr19:10477778-11154144)x3	AP1M2|ATG4D|C19orf38|CARM1|CDC37|CDKN2D|DNM2|ILF3|KEAP1|KRI1|MIR199A1|PDE4A|QTRT1|S1PR5|SLC44A2|SMARCA4|TIMM29|TMED1|TYK2|YIPF2		not provided	VCV002684884	19	10477778 - 11154144			2684884	2845919			copy number gain		Uncertain significance	Dec 1, 2022	criteria provided, single submitter							
GRCh37/hg19 19p13.2(chr19:10584393-10938252)	AP1M2|ATG4D|CDKN2D|DNM2|ILF3|KEAP1|KRI1|MIR199A1|QTRT1|S1PR5|SLC44A2		not specified	VCV001526655	19	10584393 - 10938252			1526655	1518144			copy number gain		Uncertain significance	Mar 1, 2022	criteria provided, single submitter							
GRCh37/hg19 19p13.2(chr19:10624491-10969019)x3	AP1M2|ATG4D|C19orf38|CDKN2D|DNM2|ILF3|KRI1|MIR199A1|QTRT1|S1PR5|SLC44A2|TMED1		not provided	VCV002498798	19	10624491 - 10969019			2498798	2476775			copy number gain		Uncertain significance	Mar 1, 2023	criteria provided, single submitter							
GRCh37/hg19 19p13.2(chr19:10632623-11135294)x3	AP1M2|QTRT1|ILF3|C19orf38|SLC44A2|SMARCA4|ATG4D|DNM2|KRI1|YIPF2|CDKN2D|CARM1|TIMM29|MIR199A1|TMED1		not provided	VCV000816065	19	10632623 - 11135294			816065	804273			copy number gain		Uncertain significance	Mar 7, 2019	no assertion criteria provided							
GRCh37/hg19 19p13.2(chr19:9941033-11739567)x3	ACP5|ANGPTL6|ANGPTL8|AP1M2|ATG4D|C19orf38|CARM1|CCDC159|CDC37|CDKN2D|CNN1|COL5A3|DNM2|DNMT1|DOCK6|ECSIT|EIF3G|ELAVL3|ELOF1|EPOR|FDX2|ICAM1|ICAM3|ICAM4|ICAM5|ILF3|KANK2|KEAP1|KRI1|LDLR|MIR199A1|MRPL4|ODAD3|OLFM2|P2RY11|PDE4A|PIN1|PPAN|PPAN-P2RY11|PRKCSH|QTRT1|RAB3D|RAVER1|RDH8|RGL3|S1PR2|S1PR5|SHFL|SLC44A2|SMARCA4|SPC24|SWSAP1|TIMM29|TMED1|TMEM205|TSPAN16|TYK2|YIPF2|ZGLP1|ZNF627|ZNF653		not provided	VCV001340718	19	9941033 - 11739567			1340718	1331926			copy number gain		Uncertain significance	Jun 16, 2020	no assertion criteria provided							
GRCh37/hg19 19p13.2-13.12(chr19:9678768-14853426)	ANGPTL8|ACP5|ADGRE2|ADGRE3|ADGRE5|ADGRL1|ANGPTL6|AP1M2|ASF1B|ATG4D|BEST2|BRME1|C19orf38|C19orf53|C19orf67|CACNA1A|CALR|CARM1|CC2D1A|CCDC159|CDC37|CDKN2D|CLEC17A|CNN1|COL5A3|DAND5|DCAF15|DDX39A|DHPS|DNAJB1|DNASE2|DNM2|DNMT1|DOCK6|ECSIT|EIF3G|ELAVL3|ELOF1|EPOR|FARSA|FBXL12|FBXW9|FDX2|GADD45GIP1|GCDH|GET3|GIPC1|HOOK2|ICAM1|ICAM3|ICAM4|ICAM5|IER2|IL27RA|ILF3|JUNB|KANK2|KEAP1|KLF1|KRI1|LDLR|LYL1|MAN2B1|MAST1|MIR181C|MIR199A1|MIR23A|MIR24-2|MIR27A|MRI1|MRPL4|NACC1|NANOS3|NDUFB7|NFIX|ODAD3|OLFM2|P2RY11|PALM3|PDE4A|PIN1|PKN1|PODNL1|PPAN|PPAN-P2RY11|PRDX2|PRKACA|PRKCSH|PTGER1|QTRT1|RAB3D|RAD23A|RAVER1|RDH8|RFX1|RGL3|RLN3|RNASEH2A|RTBDN|S1PR2|S1PR5|SAMD1|SHFL|SLC44A2|SMARCA4|SPC24|STX10|SWSAP1|SYCE2|TECR|TIMM29|TMED1|TMEM205|TNPO2|TRIR|TRMT1|TSPAN16|TYK2|UBL5|WDR83|WDR83OS|YIPF2|YJU2B|ZGLP1|ZNF121|ZNF136|ZNF20|ZNF333|ZNF433|ZNF439|ZNF44|ZNF440|ZNF441|ZNF442|ZNF443|ZNF490|ZNF491|ZNF561|ZNF562|ZNF563|ZNF564|ZNF625|ZNF627|ZNF653|ZNF69|ZNF700|ZNF709|ZNF763|ZNF791|ZNF799|ZNF823|ZNF844|ZNF846|ZNF878|ZSWIM4		See cases	VCV000395688	19	9678768 - 14853426			395688	382581			copy number gain		Pathogenic	Nov 30, 2010	no assertion criteria provided							
